DATE,Imports of goods
1/1/1996,12334000000
1/1/1997,13585000000
1/1/1998,13496000000
1/1/1999,13608000000
1/1/2000,17325000000
1/1/2001,17928000000
1/1/2002,21458000000
1/1/2003,26780000000
1/1/2004,33511000000
1/1/2005,39358189000
1/1/2006,47709741800
1/1/2007,65784100000
1/1/2008,83424000000
1/1/2009,72890000000
1/1/2010,87294000000
1/1/2011,1.09E+11
1/1/2012,1.17E+11
1/1/2013,1.37E+11
1/1/2014,1.53E+11
1/1/2015,1.71E+11
1/1/2016,1.82E+11
1/1/2017,2.21E+11
1/1/2018,2.46E+11
1/1/2019,2.62E+11
1/1/2020,2.70E+11
