DATE,Research and development expenditure (% of GDP)
1/1/1996,5.904166667
1/1/1997,5.17
1/1/1998,5.3275
1/1/1999,6.896666667
1/1/2000,4.115833333
1/1/2001,2.614166667
1/1/2002,2.858333333
1/1/2003,3.55125
1/1/2004,3.88
1/1/2005,3.54625
1/1/2006,3.6875
1/1/2007,3.053154762
1/1/2008,2.159
1/1/2009,1.9415
1/1/2010,2.960333333
1/1/2011,2.968
1/1/2012,3.234166667
1/1/2013,2.9075
1/1/2014,2.37
1/1/2015,1.925
1/1/2016,2.258333333
1/1/2017,2.633625
1/1/2018,2.7325
1/1/2019,3.527291667
1/1/2020,4.436
